idpers,idhous17,p17a01,p17a04,p17c01,p17c02,p17c08,occupa17,x17i04,age17,sex17,educat17,isced17,edyear17,civsta17,nbpers17,nbkid17,region17,canton17
90003101,900031,,,,8.0,,,inapplicable,30.0,,,,9.0,,2,0,,
90003102,900031,,,,8.0,,,inapplicable,30.0,,,,18.0,,2,0,,
90010101,900101,,,,,,,inapplicable,56.0,,,,10.0,,4,2,,
90010102,900101,,,,,,,inapplicable,40.0,,,,14.0,,4,2,,
90014101,900141,,,,,,,inapplicable,33.0,,,,12.0,,2,0,,
90014102,900141,,,,,,,no personal income,26.0,,,,9.0,,2,0,,
90017101,900171,,7.0,,8.0,3.0,,inapplicable,50.0,,,,18.0,,4,2,,
90017102,900171,,4.0,,9.0,2.0,,inapplicable,44.0,,,,18.0,,4,2,,
90018101,900181,,,,,,,inapplicable,52.0,,,,16.0,,4,1,,
90018102,900181,,,,,,,inapplicable,51.0,,,,12.0,,4,1,,
90018103,900181,,,,,,,inapplicable,20.0,,,,13.0,,4,1,,
90019101,900191,,,,,,,inapplicable,53.0,,,,12.0,,2,1,,
90020101,900201,,,,8.0,,,inapplicable,55.0,,,,9.0,,4,2,,
90020102,900201,,,,9.0,,,inapplicable,46.0,,,,9.0,,4,2,,
90028101,900281,,2.0,,9.0,9.0,,inapplicable,55.0,,,,10.0,,5,0,,
90028102,900281,,3.0,,6.0,6.0,,inapplicable,52.0,,,,16.0,,5,0,,
90028103,900281,,,,4.0,8.0,,inapplicable,27.0,,,,12.0,,5,0,,
90028104,900281,,,,,,,inapplicable,26.0,,,,12.0,,5,0,,
90028105,900281,,5.0,,7.0,3.0,,inapplicable,20.0,,,,12.0,,5,0,,
90033101,900331,,,,,,,inapplicable,56.0,,,,18.0,,1,0,,
90039101,900391,,2.0,,8.0,1.0,,inapplicable,59.0,,,,18.0,,3,0,,
90039102,900391,,5.0,,9.0,,,inapplicable,59.0,,,,18.0,,3,0,,
90039103,900391,,1.0,,8.0,,,inapplicable,27.0,,,,18.0,,3,0,,
90041101,900411,,,,,,,inapplicable,58.0,,,,9.0,,4,0,,
90041102,900411,,2.0,,7.0,7.0,,inapplicable,54.0,,,,9.0,,4,0,,
90041103,900411,,,,,,,inapplicable,27.0,,,,18.0,,4,0,,
90041104,900411,,5.0,,8.0,2.0,,inapplicable,19.0,,,,9.0,,4,0,,
90045101,900451,,6.0,,8.0,2.0,,inapplicable,61.0,,,,16.0,,4,0,,
90045102,900451,,,,8.0,,,inapplicable,28.0,,,,12.0,,4,0,,
90045103,900451,,6.0,,8.0,2.0,,inapplicable,20.0,,,,10.0,,4,0,,
90045104,900451,,6.0,,7.0,4.0,,inapplicable,20.0,,,,12.0,,4,0,,
90047101,900471,,2.0,,8.0,,,inapplicable,52.0,,,,18.0,,4,3,,
90049101,900491,,,,,,,inapplicable,56.0,,,,18.0,,3,0,,
90049102,900491,,,,,,,14400,47.0,,,,9.0,,3,0,,
90049103,900491,,2.0,,8.0,2.0,,inapplicable,19.0,,,,13.0,,3,0,,
90051101,900511,,,,,,,inapplicable,59.0,,,,12.0,,2,0,,
90051102,900511,,,,,,,inapplicable,52.0,,,,12.0,,2,0,,
90057101,900571,,,,9.0,,,inapplicable,46.0,,,,9.0,,4,2,,
90057102,900571,,,,9.0,,,inapplicable,45.0,,,,12.0,,4,2,,
90058101,900581,,2.0,,9.0,,,inapplicable,39.0,,,,18.0,,3,1,,
90058102,900581,,2.0,,,,,inapplicable,30.0,,,,16.0,,3,1,,
90060101,900601,,2.0,,,,,inapplicable,29.0,,,,16.0,,2,0,,
90060102,900601,,,,,,,inapplicable,27.0,,,,12.0,,2,0,,
90062101,900621,,4.0,,9.0,,,inapplicable,61.0,,,,12.0,,2,0,,
90062102,900621,,,,,,,inapplicable,51.0,,,,18.0,,2,0,,
90069101,900691,,3.0,,,,,inapplicable,47.0,,,,9.0,,1,0,,
90071101,900711,,,,,,,inapplicable,41.0,,,,16.0,,5,3,,
